team,nickname,abbreviation,league,stadium,stadium_address,area,capacity,manager,is_player_manager
Derby,The Rams,DER,English Premier League,Baseball Ground,Shaftesbury Crescent,,25000,Jim Smith,False
Grimsby,The Mariners,GRI,English First Division,Blundell Park,Cleethorpe,,8607,Brian Laws,False
Huddersfield,The Terriers,HUD,English First Division,The Alfred McAlpine Stadium,Huddersfield,West Yorkshire,20000,Brian Horton,False
Ipswich,The Blues,IPS,English First Division,Portman Road,Ipswich,Suffolk,22500,George Burley,False
Leicester,The Foxes,LEI,English Premier League,Filbert Street,Leicester,,22517,Martin O'Neill,False
Luton,The Hatters,LUT,English Second Division,Kenilworth Road,1 Maple Road,Bedfordshire,13410,Lennie Lawrence,False
Millwall,The Lions,MLW,English Second Division,The New Den,,London,20146,Jimmy Nicholl,True
Norwich,The Canaries,NRW,English First Division,Carrow Road,Norwich,Norfolk,21909,Mike Walker,False
Oldham,The Latics,OLD,English First Division,Boundary Park,Oldham,Lancashire,13599,Graeme Sharp,False
Port Vale,The Valiants,PTV,English First Division,Vale Park,Burslem,,23000,John Rudge,False
Portsmouth,The Pompey,PTM,English First Division,Fratton Road,Frogmore Road,,26452,Terry Fenwick,False
Reading,The Royals,REA,English First Division,Elm Park,Norfolk Road,Berkshire,14058,Mick Gooding,True
Sheffield U,The Blades,SHU,English First Division,Bramall Lane Ground,Sheffield,,23327,Howard Kendall,False
Southend,The Shrimpers,SOT,English First Division,Roots Hall,Victoria Avenue,,13000,Ronnie Whelan,True
Stoke,The Potters,STK,English First Division,Victoria Ground,Stoke-on-Trent,Staffordshire,25409,Lou Macari,True
Sunderland,The Rokerites,SUN,English Premier League,Roker Park,Sunderland,Tyne & Wear,22657,Peter Reid,False
Tranmere,The Rovers,TRA,English First Division,Prenton Park,Prenton Road West,Merseyside,16789,John Aldridge,True
Watford,The Hornets,WAT,English Second Division,Vicarage Road Stadium,Watford,,22000,Glenn Roeder,False
West Brom,The Throstles,WSB,English First Division,The Hawthorns,West Bromich,West Midlands,25117,Alan Buckley,True
Wolves,The Wolves,WOL,English First Division,Molineux Ground,Waterloo Road,,28500,Mark McGhee,False
Blackpool,The Seasiders,BLA,English Second Division,Bloomfield Road,Blackpool,Lancashire,9654,Gary Megson,False
Bournemouth,The Cherries,BOU,English Second Division,Dean Court Ground,Bournemouth,Dorset,11880,Mel Machin,False
Bradford,The Bantams,BRA,English First Division,The Pulse Stadium,Valley Parade,West Yorkshire,14539,Chris Kamara,True
